i_full_sample_Question8_hasImage,FALSE
i_full_sample_Question8_QuestionPrompt,"In the following alphanumeric series, what letter comes next? Q, S, N, P, L, _"
i_full_sample_Question8_Choices,"['J', 'H', 'I', 'N', 'M', 'L', 'None of these', 'I do not know']"
i_full_sample_Question8_CorrectChoiceIndex,3
i_full_sample_Question9_QuestionID,MX.45
i_full_sample_Question9_hasImage,TRUE
i_full_sample_Question9_QuestionPrompt,Which is the correct answer in the sequence?
i_full_sample_Question9_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_full_sample_Question9_CorrectChoiceIndex,4
i_full_sample_Question5_QuestionID,LN.7
i_full_sample_Question5_hasImage,FALSE
i_full_sample_Question5_QuestionPrompt,"In the following alphanumeric series, what letter comes next? K, N, S, P, U, _"
i_full_sample_Question5_Choices,"['S', 'T', 'U', 'V', 'W', 'X', 'None of these', 'I do not know']"
i_full_sample_Question5_CorrectChoiceIndex,5
i_full_sample_Question16_QuestionID,R3D.8
i_full_sample_Question16_hasImage,TRUE
i_full_sample_Question16_QuestionPrompt,All the cubes below have a different image on each side. Select the choice that represents a rotation of the cube labeled X.
i_full_sample_Question16_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']"
i_full_sample_Question16_CorrectChoiceIndex,6
i_matrices_only_Question6_QuestionID,MX.44
i_matrices_only_Question6_hasImage,TRUE
i_matrices_only_Question6_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question6_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question6_CorrectChoiceIndex,2
i_matrices_only_Question7_QuestionID,MX.53
i_matrices_only_Question7_hasImage,TRUE
i_matrices_only_Question7_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question7_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question7_CorrectChoiceIndex,2
i_matrices_only_Question1_QuestionID,MX.45
i_matrices_only_Question1_hasImage,TRUE
i_matrices_only_Question1_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question1_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question1_CorrectChoiceIndex,4
i_matrices_only_Question2_QuestionID,MX.46
i_matrices_only_Question2_hasImage,TRUE
i_matrices_only_Question2_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question2_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question2_CorrectChoiceIndex,1
i_matrices_only_Question3_QuestionID,MX.47
i_matrices_only_Question3_hasImage,TRUE
i_matrices_only_Question3_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question3_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question3_CorrectChoiceIndex,1
i_matrices_only_Question4_QuestionID,MX.55
i_matrices_only_Question4_hasImage,TRUE
i_matrices_only_Question4_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question4_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question4_CorrectChoiceIndex,3
i_matrices_only_Question8_QuestionID,MX.56
i_matrices_only_Question8_hasImage,TRUE
i_matrices_only_Question8_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question8_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question8_CorrectChoiceIndex,4
i_matrices_only_Question5_QuestionID,MX.43
i_matrices_only_Question5_hasImage,TRUE
i_matrices_only_Question5_QuestionPrompt,Which is the correct answer in the sequence?
i_matrices_only_Question5_Choices,"['A', 'B', 'C', 'D', 'E', 'F', 'None of these', 'I do not know']"
i_matrices_only_Question5_CorrectChoiceIndex,3
